"","player_name","nameFirst","nameLast","season","pass_defended","total_intercept","total_fumble_forced","total_assist_tackle","total_sack","total_solo_tackle","position","posteam","posteam_type","defteam","total_pos_time_in_minutes_per_game"
"30804","J.Brown","Jalil","Brown",2017,NA,NA,NA,1,NA,3,"DB","LA","away","TEN",31.2107954545455
"30864","J.Brown","Jonathan","Brown",2018,NA,NA,NA,NA,NA,1,"LB","LAC","home","SF",30.2065134099617
"30920","J.Brown","Jatavis","Brown",2017,NA,NA,NA,4,NA,2,"LB","MIA","away","LAC",30.546862745098
"30965","J.Brown","Jerry","Brown",2018,NA,NA,NA,1,NA,2,"OLB","MIA","home","TEN",32.8981481481481
"30976","J.Brown","Jayon","Brown",2018,NA,NA,NA,1,NA,2,"LB","MIA","home","TEN",32.8981481481481
"31012","J.Brown","Joe","Brown",2017,NA,NA,NA,1,NA,1,"DT","NE","home","LAC",32.931891025641
"31098","J.Brown","Jerald","Brown",2018,1,NA,NA,NA,1,4,"DB","NYJ","away","TEN",33.7601851851852
"31112","J.Brown","Jordan","Brown",2018,1,NA,NA,NA,1,4,"DB","NYJ","away","TEN",33.7601851851852
"31151","J.Brown","Justin","Brown",2017,NA,NA,NA,2,NA,1,"DE","OAK","away","LAC",29.360447761194
"31182","J.Brown","Jalil","Brown",2018,NA,NA,1,NA,NA,2,"DB","OAK","away","LAC",29.0631455399061
"31242","J.Brown","Jonathan","Brown",2017,NA,NA,NA,2,NA,NA,"LB","OAK","home","LAC",29.0400462962963
"31298","J.Brown","Jatavis","Brown",2017,NA,NA,NA,1,0,3,"LB","PHI","away","LAC",31.9286458333333
"31343","J.Brown","Jerry","Brown",2018,1,NA,NA,NA,NA,6,"OLB","PIT","home","LAC",30.5493975903614
"31354","J.Brown","Jayon","Brown",2018,1,NA,NA,NA,NA,6,"LB","PIT","home","LAC",30.5493975903614
"31390","J.Brown","Joe","Brown",2017,NA,NA,NA,NA,NA,3,"DT","SEA","away","TEN",33.560350877193
"31476","J.Brown","Jerald","Brown",2017,NA,NA,NA,1,1,4,"DB","SF","home","TEN",29.4501851851852
"31490","J.Brown","Jordan","Brown",2017,NA,NA,NA,1,1,4,"DB","SF","home","TEN",29.4501851851852
