"","player_name","nameFirst","nameLast","season","pass_defended","total_intercept","total_fumble_forced","total_assist_tackle","total_sack","total_solo_tackle","position","posteam","posteam_type","defteam","total_pos_time_in_minutes_per_game"
"46883","K.Alexander","Kwon","Alexander",2017,NA,NA,NA,3,NA,3,"OLB","BUF","home","TB",32.4480072463768
"46894","K.Alexander","Kevin","Alexander",2018,1,NA,NA,NA,NA,2,"LB","CHI","home","TB",25.0997967479675
"46925","K.Alexander","Kwon","Alexander",2018,NA,NA,NA,NA,NA,5,"OLB","PIT","away","TB",31.5238095238095
"46950","K.Alonso","Kiko","Alonso",2018,1,NA,NA,NA,NA,4,"LB","DET","away","MIA",32.1926666666667
"46964","K.Alonso","Kiko","Alonso",2017,NA,NA,NA,1,NA,5,"LB","NYJ","home","MIA",26.9537037037037
"46974","K.Barnes","Kevin","Barnes",NA,NA,NA,NA,NA,NA,NA,"DB",NA,NA,NA,NA
"46978","K.Beckwith","Kendell","Beckwith",2017,NA,NA,NA,2,NA,2,"LB","BUF","home","TB",32.4480072463768
"47002","K.Brice","Kentrell","Brice",2017,NA,NA,NA,NA,NA,5,"DB","DET","home","GB",29.5987341772152
"47058","K.Chancellor","Kam","Chancellor",2017,NA,NA,NA,NA,NA,7,"DB","TEN","home","SEA",28.6680412371134
"47084","K.Clark","Khairi","Clark",2018,NA,NA,1,1,NA,1,"DT","BUF","away","GB",30.6657777777778
"47126","K.Clark","Khairi","Clark",2017,NA,NA,NA,4,NA,1,"DT","DAL","home","GB",31.74
"47168","K.Clark","Khairi","Clark",2018,1,NA,NA,NA,1,2,"DT","MIN","away","GB",36.5069444444444
"47210","K.Clark","Khairi","Clark",2018,NA,NA,NA,1,1,6,"DT","SF","away","GB",29.7818181818182
"47251","K.Coleman","Kenyon","Coleman",2017,NA,NA,NA,2,NA,1,"DE","BUF","away","CAR",35.919696969697
"47293","K.Coleman","Kenyon","Coleman",2017,1,NA,NA,1,NA,4,"DE","MIN","away","CAR",30.4403703703704
"47335","K.Coleman","Kenyon","Coleman",2018,NA,NA,NA,NA,NA,1,"DE","PHI","away","NO",31.7571428571429
"47377","K.Correa","Kamalei","Correa",2017,1,NA,NA,NA,0,2,"DE","JAX","home","BAL",27.1274193548387
"47394","K.Crawley","Ken","Crawley",2017,2,NA,NA,NA,NA,3,"DB","CHI","away","NO",32.3775793650794
"47412","K.Dansby","Karlos","Dansby",2017,NA,NA,NA,2,NA,6,"LB","IND","home","ARI",31.4547872340426
"47457","K.Edebali","Kasim","Edebali",NA,NA,NA,NA,NA,NA,NA,"OLB",NA,NA,NA,NA
"47471","K.Emanuel","Kyle","Emanuel",2017,NA,NA,NA,NA,1,2,"OLB","JAX","home","LAC",38.2126168224299
"47485","K.Emanuel","Kyle","Emanuel",2017,NA,NA,NA,NA,NA,1,"OLB","LAC","home","BUF",29.8977192982456
"47499","K.Emanuel","Kyle","Emanuel",2017,NA,NA,NA,1,NA,NA,"OLB","OAK","home","LAC",29.0400462962963
"47524","K.Fackrell","Kyler","Fackrell",2018,NA,NA,NA,NA,1,1,"LB","LA","home","GB",33.1048076923077
"47576","K.Fuller","Kendall","Fuller",2018,4,NA,NA,NA,NA,5,"DB","BAL","away","KC",36.1003745318352
"47590","K.Fuller","Kyle","Fuller",2017,3,NA,NA,NA,NA,3,"DB","CIN","home","CHI",29.8565727699531
"47618","K.Fuller","Kendall","Fuller",2018,2,NA,NA,NA,NA,NA,"DB","DET","away","CHI",32.7621863799283
"47632","K.Fuller","Kyle","Fuller",2017,NA,NA,NA,NA,NA,4,"DB","GB","home","CHI",25.3868544600939
"47660","K.Fuller","Kendall","Fuller",2017,NA,NA,NA,1,NA,1,"DB","LAC","home","WAS",29.4625925925926
"47674","K.Fuller","Kyle","Fuller",2017,NA,NA,NA,NA,NA,2,"DB","MIN","home","CHI",29.2646551724138
"47702","K.Fuller","Kendall","Fuller",2017,1,1,1,NA,NA,1,"DB","OAK","away","WAS",33.7833333333333
"47716","K.Fuller","Kyle","Fuller",2017,2,NA,NA,NA,NA,5,"DB","PIT","away","CHI",29.9713991769547
"47751","K.Grugier-Hill","Kamu","Grugier-Hill",2018,NA,NA,NA,NA,NA,1,"OLB","CAR","away","PHI",36.1308888888889
"47765","K.Grugier-Hill","Kamu","Grugier-Hill",2017,NA,NA,NA,NA,NA,1,"OLB","PHI","away","CAR",27.5162698412698
"47786","K.Ishmael","Kemal","Ishmael",2018,NA,NA,NA,NA,NA,1,"DB","ATL","home","NYG",33.4015325670498
"47800","K.Ishmael","Kemal","Ishmael",2017,1,NA,NA,NA,NA,2,"DB","TB","home","ATL",31.9991111111111
"47818","K.Jackson","Kenny","Jackson",2017,NA,NA,NA,NA,NA,3,"LB","BAL","home","HOU",32.0717391304348
"47870","K.Jackson","Kareem","Jackson",2018,2,1,NA,1,NA,4,"DB","DAL","away","HOU",32.6698312236287
"47888","K.Jackson","Kenny","Jackson",2017,1,NA,NA,NA,NA,2,"LB","IND","away","HOU",30.5152941176471
"47940","K.Jackson","Kareem","Jackson",2017,1,NA,NA,NA,NA,4,"DB","JAX","home","HOU",28.7790740740741
"47958","K.Jackson","Kenny","Jackson",2017,NA,NA,NA,2,NA,3,"LB","KC","away","HOU",30.4824652777778
"48010","K.Jackson","Kareem","Jackson",2018,1,NA,NA,2,NA,3,"DB","NYG","away","HOU",31.1713080168776
"48028","K.Jackson","Kenny","Jackson",2017,1,NA,NA,1,NA,3,"LB","PIT","away","HOU",28.3234234234234
"48080","K.Jackson","Kareem","Jackson",2018,2,NA,NA,2,NA,3,"DB","TEN","home","HOU",33.0485772357724
"48094","K.Jennings","Kelly","Jennings",NA,NA,NA,NA,NA,NA,NA,"DB",NA,NA,NA,NA
"48106","K.Johnson","Kamal","Johnson",2017,NA,NA,NA,NA,NA,1,"DT","ARI","away","HOU",31.9391774891775
"48232","K.Johnson","Kamal","Johnson",2017,NA,NA,NA,NA,NA,3,"DT","LA","home","HOU",32.2659090909091
"48336","K.Joseph","Kendall","Joseph",2017,NA,NA,NA,2,NA,5,"LB","BAL","away","OAK",31.7315476190476
"48364","K.Joseph","Kendall","Joseph",2017,1,NA,NA,NA,NA,2,"LB","KC","away","OAK",29.1324786324786
"48392","K.Joseph","Kendall","Joseph",2017,NA,NA,NA,3,NA,4,"LB","NE","away","OAK",28.3952380952381
"48428","K.King","Kenny","King",2017,1,NA,NA,NA,NA,2,"DT","CHI","home","GB",29.7751028806584
"48444","K.King","Kevin","King",2018,1,NA,NA,NA,NA,2,"DB","LA","home","GB",33.1048076923077
"48470","K.Klug","Karl","Klug",2017,NA,NA,NA,NA,1,1,"DT","PIT","home","TEN",30.4145390070922
"48528","K.Lewis","Keenan","Lewis",2018,NA,NA,NA,1,NA,2,"DB","PHI","away","TEN",33.907095709571
"48542","K.Lewis","Keith","Lewis",2018,NA,NA,NA,NA,NA,1,"DB","TEN","home","NYJ",31.8020599250936
"48562","K.Love","Kyle","Love",2018,NA,NA,NA,1,NA,1,"DL","DAL","away","CAR",32.784188034188
"48577","K.Mack","Khalil","Mack",2018,NA,NA,1,NA,2,5,"OLB","ARI","home","CHI",33.0166666666667
"48591","K.Mack","Khalil","Mack",2017,NA,NA,NA,2,NA,3,"OLB","LAC","home","OAK",29.1352713178295
"48710","K.McGill","Keith","McGill",NA,NA,NA,NA,NA,NA,NA,"DB",NA,NA,NA,NA
"48714","K.Minter","Kevin","Minter",2017,NA,NA,NA,1,NA,1,"LB","CHI","away","CIN",30.6353260869565
"48850","K.Peterson","Kevin","Peterson",2017,NA,NA,NA,NA,NA,1,"DB","PHI","away","LA",30.5454166666667
"48861","K.Peterson","Kenny","Peterson",NA,NA,NA,NA,NA,NA,NA,"DE",NA,NA,NA,NA
"48871","K.Pierre-Louis","Kevin","Pierre-Louis",2018,NA,NA,NA,NA,NA,1,"OLB","HOU","away","NYJ",33.1099099099099
"48885","K.Pierre-Louis","Kevin","Pierre-Louis",2017,NA,NA,NA,1,NA,2,"OLB","OAK","away","KC",34.1227642276423
"48924","K.Robinson","Keenan","Robinson",NA,NA,NA,NA,NA,NA,NA,"LB",NA,NA,NA,NA
"48948","K.Seymour","Kevon","Seymour",2017,NA,NA,NA,NA,NA,1,"DB","TB","away","CAR",30.8166666666667
"48952","K.Sheppard","Kelvin","Sheppard",2017,NA,NA,NA,NA,NA,9,"LB","ARI","home","NYG",28.8724206349206
"48974","K.Short","Kawann","Short",2018,NA,NA,NA,NA,NA,2,"DT","CIN","away","CAR",29.4735416666667
"48988","K.Short","Kawann","Short",2017,NA,NA,NA,NA,2,3,"DT","MIN","away","CAR",30.4403703703704
"49002","K.Short","Kawann","Short",2017,NA,NA,NA,1,NA,NA,"DT","PHI","away","CAR",27.5162698412698
"49016","K.Short","Kawann","Short",2017,1,NA,NA,2,0,4,"DT","TB","home","CAR",29.1705761316872
"49050","K.Toomer","Korey","Toomer",2018,NA,NA,NA,1,NA,1,"LB","MIN","away","GB",36.5069444444444
"49081","K.Van Noy","Kyle","Van Noy",2017,NA,NA,NA,2,1,4,"OLB","CAR","away","NE",34.8533755274262
"49095","K.Van Noy","Kyle","Van Noy",2018,NA,NA,NA,1,0,3,"OLB","MIA","home","NE",30.582380952381
"49116","K.Webster","Ken","Webster",2017,1,NA,NA,NA,NA,5,"DB","HOU","away","LA",26.4925093632959
"49130","K.Webster","Ken","Webster",2017,1,NA,NA,1,NA,1,"DB","SEA","away","LA",28.2134099616858
"49144","K.White","Kevin","White",NA,NA,NA,NA,NA,NA,NA,"DB",NA,NA,NA,NA
"49155","K.Wilber","Kyle","Wilber",2017,NA,NA,NA,NA,NA,1,"DE","LAC","away","DAL",33.1922619047619
"49239","K.Williams","Kevin","Williams",2017,NA,NA,NA,1,NA,NA,"DE","ATL","home","BUF",32.8159498207885
"49240","K.Williams","Kyle","Williams",2017,NA,NA,NA,1,NA,NA,"DT","ATL","home","BUF",32.8159498207885
"49365","K.Williams","Kevin","Williams",2017,NA,NA,NA,NA,NA,1,"DE","CLE","away","IND",31.746632996633
"49366","K.Williams","Kyle","Williams",2017,NA,NA,NA,NA,NA,1,"DT","CLE","away","IND",31.746632996633
"49491","K.Williams","Kevin","Williams",2017,NA,NA,NA,NA,1,1,"DE","HOU","home","SF",32.7910852713178
"49492","K.Williams","Kyle","Williams",2017,NA,NA,NA,NA,1,1,"DT","HOU","home","SF",32.7910852713178
"49617","K.Williams","Kevin","Williams",2018,NA,NA,NA,1,NA,3,"DE","LA","away","SF",29.4380952380952
"49618","K.Williams","Kyle","Williams",2018,NA,NA,NA,1,NA,3,"DT","LA","away","SF",29.4380952380952
"49743","K.Williams","Kevin","Williams",2018,NA,NA,NA,NA,1,1,"DE","MIN","home","BUF",35.6552742616034
"49744","K.Williams","Kyle","Williams",2018,NA,NA,NA,NA,1,1,"DT","MIN","home","BUF",35.6552742616034
"49869","K.Williams","Kevin","Williams",2018,NA,NA,NA,2,NA,8,"DE","NYG","away","SF",31.1891774891775
"49870","K.Williams","Kyle","Williams",2018,NA,NA,NA,2,NA,8,"DT","NYG","away","SF",31.1891774891775
"49995","K.Williams","Kevin","Williams",2017,2,NA,NA,1,NA,4,"DE","SEA","home","SF",28.0021666666667
"49996","K.Williams","Kyle","Williams",2017,2,NA,NA,1,NA,4,"DT","SEA","home","SF",28.0021666666667
"50121","K.Williams","Kevin","Williams",2017,NA,NA,1,NA,NA,5,"DE","WAS","home","SF",31.6414855072464
"50122","K.Williams","Kyle","Williams",2017,NA,NA,1,NA,NA,5,"DT","WAS","home","SF",31.6414855072464
"50142","K.Wilson","Kyrie","Wilson",NA,NA,NA,NA,NA,NA,NA,"LB",NA,NA,NA,NA
"50289","K.Wynn","Kerry","Wynn",2017,NA,NA,NA,NA,NA,1,"DE","DAL","home","NYG",28.0102564102564
"50303","K.Wynn","Kerry","Wynn",2017,NA,NA,NA,NA,NA,1,"DE","WAS","away","NYG",26.5253333333333
"50338","L.Alexander","Lorenzo","Alexander",2017,NA,NA,NA,NA,NA,1,"LB","BUF","away","ATL",31.9322510822511
"50352","L.Alexander","Lorenzo","Alexander",2018,1,1,NA,NA,1,3,"LB","HOU","home","BUF",31.0614718614719
"50366","L.Alexander","Lorenzo","Alexander",2017,NA,NA,NA,3,NA,3,"LB","NO","away","BUF",30.8622340425532
"50376","L.Bodden","Leigh","Bodden",NA,NA,NA,NA,NA,NA,NA,"DB",NA,NA,NA,NA
"50520","L.David","Lavonte","David",2018,1,NA,NA,1,1,9,"LB","CAR","away","TB",35.6509920634921
"50534","L.David","Lavonte","David",2018,NA,NA,NA,2,NA,6,"LB","NO","home","TB",28.8468992248062
"50562","L.Edwards","Larry","Edwards",NA,NA,NA,NA,NA,NA,NA,"LB",NA,NA,NA,NA
"50618","L.Fort","L.J.","Fort",2018,NA,NA,NA,2,NA,2,"LB","DEN","home","PIT",30.5410798122066
"50640","L.Guy","Lawrence","Guy",2018,NA,NA,NA,NA,NA,3,"DT","CHI","home","NE",29.9535256410256
"50654","L.Guy","Lawrence","Guy",2017,1,NA,NA,1,NA,4,"DT","MIA","home","NE",32.1293560606061
"50737","L.Houston","Lamarr","Houston",2017,NA,NA,NA,1,0,2,"DE","LA","home","HOU",32.2659090909091
"50751","L.Jackson","LaDairis","Jackson",NA,NA,NA,NA,NA,NA,NA,"DE",NA,NA,NA,NA
"50768","L.Johnson","Lonnie","Johnson",2017,NA,NA,NA,NA,NA,3,"DB","ATL","home","BUF",32.8159498207885
"50793","L.Johnson","Lyndon","Johnson",2017,1,NA,NA,1,NA,1,"DE","CIN","home","BUF",32.0426587301587
"50828","L.Johnson","Landon","Johnson",2017,NA,NA,NA,NA,NA,4,"LB","KC","home","BUF",32.8991452991453
"50894","L.Johnson","Leonard","Johnson",2017,NA,NA,NA,1,NA,NA,"DB","NE","away","BUF",32.5886363636364
"50950","L.Johnson","Lonnie","Johnson",2017,1,NA,NA,NA,NA,NA,"DB","NYJ","home","BUF",30.7634874759152
"50975","L.Johnson","Lyndon","Johnson",2017,NA,NA,1,NA,NA,6,"DE","OAK","away","BUF",30.4279835390947
"51004","L.Joseph","Linval","Joseph",2017,NA,NA,NA,NA,0,1,"DT","ATL","home","MIN",26.4932835820895
"51018","L.Joseph","Linval","Joseph",2017,NA,NA,NA,NA,0,2,"DT","GB","home","MIN",31.0751028806584
"51034","L.Joyner","Lamarcus","Joyner",2018,NA,NA,NA,1,NA,6,"DB","CHI","home","LA",28.9517921146953
"51048","L.Joyner","Lamarcus","Joyner",2017,NA,NA,NA,1,NA,2,"DB","PHI","away","LA",30.5454166666667
"51066","L.Kuechly","Luke","Kuechly",2018,NA,NA,NA,4,NA,7,"LB","DET","home","CAR",32.8102083333333
"51080","L.Kuechly","Luke","Kuechly",2017,1,1,NA,NA,NA,5,"LB","SF","home","CAR",27.7351111111111
"51090","L.Lewis","LeQuan","Lewis",2017,NA,NA,NA,NA,NA,2,"DB","JAX","home","HOU",28.7790740740741
"51174","L.Ryan","Logan","Ryan",2017,NA,NA,NA,NA,NA,2,"DB","IND","home","TEN",28.3573170731707
"51188","L.Ryan","Logan","Ryan",2017,1,NA,NA,2,NA,4,"DB","PIT","home","TEN",30.4145390070922
"51202","L.Sims","LeShaun","Sims",2017,NA,NA,1,NA,NA,2,"DB","JAX","home","TEN",30.7858024691358
"51248","L.Timmons","Lawrence","Timmons",2017,NA,NA,NA,2,NA,3,"LB","NE","home","MIA",28.9874531835206
"51262","L.Vander Esch","Leighton","Vander Esch",2018,NA,NA,NA,NA,NA,7,"LB","IND","home","DAL",33.5703488372093
"51284","L.Walton","Leterrius","Walton",2017,1,NA,NA,NA,0,1,"DT","DET","home","PIT",30.182196969697
"51724","L.Woodley","LaMarr","Woodley",NA,NA,NA,NA,NA,NA,NA,"LB",NA,NA,NA,NA
"51734","M.Adams","Mike","Adams",2017,2,1,NA,NA,NA,1,"DB","ATL","away","CAR",28.3308558558559
"51738","M.Adams","Matthew","Adams",2017,2,1,NA,NA,NA,1,"LB","ATL","away","CAR",28.3308558558559
"51748","M.Adams","Mike","Adams",2017,2,NA,1,NA,NA,4,"DB","ATL","home","CAR",30.0003584229391
"51752","M.Adams","Matthew","Adams",2017,2,NA,1,NA,NA,4,"LB","ATL","home","CAR",30.0003584229391
"51762","M.Adams","Mike","Adams",2018,1,1,NA,NA,NA,3,"DB","BAL","away","CAR",29.3308712121212
"51766","M.Adams","Matthew","Adams",2018,1,1,NA,NA,NA,3,"LB","BAL","away","CAR",29.3308712121212
"51776","M.Adams","Mike","Adams",2018,NA,NA,NA,1,0,1,"DB","BUF","away","IND",31.387323943662
"51780","M.Adams","Matthew","Adams",2018,NA,NA,NA,1,0,1,"LB","BUF","away","IND",31.387323943662
"51790","M.Adams","Mike","Adams",2017,NA,NA,NA,1,NA,2,"DB","CHI","home","CAR",37.0376543209876
"51794","M.Adams","Matthew","Adams",2017,NA,NA,NA,1,NA,2,"LB","CHI","home","CAR",37.0376543209876
"51804","M.Adams","Mike","Adams",2018,NA,NA,1,1,1,2,"DB","CHI","home","GB",31.3998039215686
"51808","M.Adams","Matthew","Adams",2018,NA,NA,1,1,1,2,"LB","CHI","home","GB",31.3998039215686
"51818","M.Adams","Mike","Adams",2017,NA,NA,NA,NA,NA,1,"DB","CLE","home","GB",32.6452991452991
"51822","M.Adams","Matthew","Adams",2017,NA,NA,NA,NA,NA,1,"LB","CLE","home","GB",32.6452991452991
"51832","M.Adams","Mike","Adams",2018,NA,NA,NA,1,NA,NA,"DB","DAL","away","IND",28.111038961039
"51836","M.Adams","Matthew","Adams",2018,NA,NA,NA,1,NA,NA,"LB","DAL","away","IND",28.111038961039
"51846","M.Adams","Mike","Adams",2018,NA,NA,NA,1,NA,6,"DB","DET","home","CAR",32.8102083333333
"51850","M.Adams","Matthew","Adams",2018,NA,NA,NA,1,NA,6,"LB","DET","home","CAR",32.8102083333333
"51860","M.Adams","Mike","Adams",2018,NA,NA,NA,NA,NA,1,"DB","HOU","away","IND",34.8276234567901
"51864","M.Adams","Matthew","Adams",2018,NA,NA,NA,NA,NA,1,"LB","HOU","away","IND",34.8276234567901
"51874","M.Adams","Mike","Adams",2018,NA,NA,NA,NA,NA,1,"DB","IND","away","PHI",33.8316666666667
"51878","M.Adams","Matthew","Adams",2018,NA,NA,NA,NA,NA,1,"LB","IND","away","PHI",33.8316666666667
"51888","M.Adams","Mike","Adams",2018,NA,NA,NA,2,NA,2,"DB","JAX","away","IND",32.7073476702509
"51892","M.Adams","Matthew","Adams",2018,NA,NA,NA,2,NA,2,"LB","JAX","away","IND",32.7073476702509
"51902","M.Adams","Mike","Adams",2017,1,NA,NA,NA,NA,3,"DB","MIA","away","CAR",29.975462962963
"51906","M.Adams","Matthew","Adams",2017,1,NA,NA,NA,NA,3,"LB","MIA","away","CAR",29.975462962963
"51916","M.Adams","Mike","Adams",2018,NA,NA,NA,1,NA,2,"DB","MIA","away","IND",25.8939189189189
"51920","M.Adams","Matthew","Adams",2018,NA,NA,NA,1,NA,2,"LB","MIA","away","IND",25.8939189189189
"51930","M.Adams","Mike","Adams",2018,NA,NA,NA,2,NA,1,"DB","MIN","home","GB",30.5725177304965
"51934","M.Adams","Matthew","Adams",2018,NA,NA,NA,2,NA,1,"LB","MIN","home","GB",30.5725177304965
"51944","M.Adams","Mike","Adams",2018,NA,NA,NA,1,NA,NA,"DB","NE","home","IND",28.545652173913
"51948","M.Adams","Matthew","Adams",2018,NA,NA,NA,1,NA,NA,"LB","NE","home","IND",28.545652173913
"51958","M.Adams","Mike","Adams",2018,NA,NA,NA,NA,NA,3,"DB","NO","away","CAR",32.5878277153558
"51962","M.Adams","Matthew","Adams",2018,NA,NA,NA,NA,NA,3,"LB","NO","away","CAR",32.5878277153558
"51972","M.Adams","Mike","Adams",2018,2,2,NA,2,NA,4,"DB","NYG","away","CAR",26.6713333333333
"51976","M.Adams","Matthew","Adams",2018,2,2,NA,2,NA,4,"LB","NYG","away","CAR",26.6713333333333
"51986","M.Adams","Mike","Adams",2017,NA,NA,NA,1,0,3,"DB","PHI","away","CAR",27.5162698412698
"51990","M.Adams","Matthew","Adams",2017,NA,NA,NA,1,0,3,"LB","PHI","away","CAR",27.5162698412698
"52000","M.Adams","Mike","Adams",2018,NA,NA,NA,4,0,2,"DB","PIT","home","CAR",31.6611872146119
"52004","M.Adams","Matthew","Adams",2018,NA,NA,NA,4,0,2,"LB","PIT","home","CAR",31.6611872146119
"52014","M.Adams","Mike","Adams",2017,NA,NA,NA,NA,NA,4,"DB","SF","home","CAR",27.7351111111111
"52018","M.Adams","Matthew","Adams",2017,NA,NA,NA,NA,NA,4,"LB","SF","home","CAR",27.7351111111111
"52028","M.Adams","Mike","Adams",2018,NA,NA,NA,NA,NA,5,"DB","TB","away","CAR",27.775
"52032","M.Adams","Matthew","Adams",2018,NA,NA,NA,NA,NA,5,"LB","TB","away","CAR",27.775
"52042","M.Adams","Mike","Adams",2018,NA,NA,NA,NA,NA,1,"DB","TB","home","CAR",29.3610441767068
"52046","M.Adams","Matthew","Adams",2018,NA,NA,NA,NA,NA,1,"LB","TB","home","CAR",29.3610441767068
"52067","M.Addison","Mario","Addison",2018,NA,NA,NA,1,NA,1,"DE","NO","away","CAR",32.5878277153558
"52088","M.Alexander","Mister","Alexander",2017,1,NA,NA,NA,NA,NA,"LB","ATL","home","MIN",26.4932835820895
"52098","M.Alexander","Mackensie","Alexander",2017,NA,NA,NA,1,NA,NA,"DB","CAR","home","MIN",33.1718390804598
"52116","M.Alexander","Mister","Alexander",2018,NA,NA,NA,NA,1,3,"LB","DET","away","MIN",33.0616858237548
"52126","M.Alexander","Mackensie","Alexander",2018,NA,NA,NA,1,NA,2,"DB","GB","away","MIN",29.1171497584541
"52144","M.Alexander","Mister","Alexander",2018,NA,NA,NA,NA,NA,2,"LB","LA","away","SEA",31.3135531135531
"52154","M.Alexander","Mackensie","Alexander",2018,NA,NA,NA,NA,NA,4,"DB","LA","home","SEA",30.9580459770115
"52172","M.Alexander","Mister","Alexander",2018,NA,NA,NA,NA,0,1,"LB","PHI","home","MIN",35.7168776371308
"52182","M.Alexander","Mackensie","Alexander",2018,NA,NA,NA,1,NA,NA,"DB","SEA","home","MIN",32.7144308943089
"52200","M.Alexander","Mister","Alexander",2017,NA,NA,NA,2,NA,6,"LB","WAS","away","LA",30.7601851851852
"52208","M.Anderson","Maurice","Anderson",NA,NA,NA,NA,NA,NA,NA,"DT",NA,NA,NA,NA
"52224","M.Barron","Mark","Barron",2017,NA,NA,NA,1,NA,3,"DB","NO","away","LA",34.0952380952381
"52263","M.Bennett","Michael","Bennett",2018,NA,NA,NA,NA,4,4,"DE","DAL","away","PHI",30.0942652329749
"52264","M.Bennett","Michael","Bennett",2018,NA,NA,NA,NA,4,4,"DT","DAL","away","PHI",30.0942652329749
"52333","M.Bennett","Michael","Bennett",2018,NA,NA,NA,NA,1,1,"DE","NYG","away","PHI",26.9792682926829
"52334","M.Bennett","Michael","Bennett",2018,NA,NA,NA,NA,1,1,"DT","NYG","away","PHI",26.9792682926829
"52404","M.Brockers","Michael","Brockers",2018,NA,NA,NA,1,NA,4,"DT","CHI","home","LA",28.9517921146953
"52418","M.Brockers","Michael","Brockers",2017,NA,NA,NA,3,NA,1,"DT","NYG","home","LA",26.6333333333333
"52476","M.Butler","Mario","Butler",2017,1,NA,NA,NA,NA,6,"DB","ATL","away","NE",31.4616666666667
"52504","M.Butler","Malcolm","Butler",2018,2,NA,NA,1,NA,6,"DB","HOU","away","TEN",29.443137254902
"52518","M.Butler","Mario","Butler",2017,NA,NA,NA,NA,NA,4,"DB","KC","away","NE",34.0314432989691
"52546","M.Butler","Malcolm","Butler",2017,NA,NA,NA,NA,NA,2,"DB","NYJ","away","NE",32.7170995670996
"52560","M.Butler","Mario","Butler",2017,NA,NA,NA,NA,NA,3,"DB","PIT","home","NE",31.0802325581395
"52574","M.Canady","Maurice","Canady",2017,NA,NA,NA,1,0,1,"DB","PIT","home","BAL",34.980505952381
"52602","M.Claiborne","Morris","Claiborne",2018,1,NA,NA,NA,NA,4,"DB","CLE","home","NYJ",31.7189473684211
"52616","M.Claiborne","Morris","Claiborne",2018,NA,NA,NA,NA,NA,2,"DB","MIN","away","NYJ",30.1914893617021
"52642","M.Collins","Mike","Collins",2018,NA,NA,NA,NA,1,1,"DT","CAR","home","DAL",31.1184981684982
"52656","M.Collins","Maliek","Collins",2017,NA,NA,NA,1,NA,NA,"DT","GB","away","DAL",34.6267932489451
"52684","M.Collins","Mike","Collins",2017,NA,NA,NA,NA,NA,1,"DT","NYG","away","DAL",34.7472222222222
"52698","M.Collins","Maliek","Collins",2017,NA,NA,NA,NA,0,NA,"DT","PHI","away","DAL",28.2311688311688
"52726","M.Collins","Mike","Collins",2018,NA,NA,NA,1,NA,3,"DT","TEN","away","DAL",32.7181992337165
"52740","M.Collins","Maliek","Collins",2018,NA,NA,NA,NA,0,NA,"DT","WAS","away","DAL",33.4271084337349
"52770","M.Cooper","Mariel","Cooper",2017,2,NA,NA,NA,NA,1,"DB","PIT","away","CHI",29.9713991769547
"52824","M.Dareus","Marcell","Dareus",2017,NA,NA,NA,1,NA,NA,"DT","CAR","home","BUF",27.914367816092
"52838","M.Dareus","Marcell","Dareus",2018,NA,NA,1,1,1,3,"DT","PHI","away","JAX",30.1447916666667
"52851","M.Davenport","Marcus","Davenport",2018,1,NA,NA,1,0,NA,"DE","TB","away","NO",31.9961240310078
"52984","M.Davis","Mondoe","Davis",2018,NA,NA,NA,1,NA,NA,"LB","LAC","away","CLE",32.27194092827
"53064","M.Davis","Michael","Davis",2017,NA,NA,NA,NA,NA,1,"DB","LAC","home","DEN",32.2094650205761
"53194","M.Davis","Mondoe","Davis",2018,NA,NA,NA,1,NA,6,"LB","SEA","home","LAC",33.7825242718447
"53260","M.Edwards","Mario","Edwards",2017,NA,NA,NA,1,1,4,"DB","DEN","home","OAK",29.2108187134503
"53302","M.Edwards","Mike","Edwards",2018,NA,NA,NA,NA,NA,2,"DB","SF","home","NYG",35.2213058419244
"53365","M.Flowers","Marquis","Flowers",2017,1,NA,NA,NA,NA,NA,"OLB","DEN","home","NE",28.1444444444444
"53404","M.Foster","Mason","Foster",2018,NA,NA,NA,2,NA,5,"LB","DAL","away","WAS",34.8845098039216
"53418","M.Foster","Mason","Foster",2017,1,1,NA,2,NA,3,"LB","LA","home","WAS",29.0342342342342
"53432","M.Foster","Mason","Foster",2018,NA,NA,NA,NA,NA,5,"LB","PHI","home","WAS",29.6371212121212
"53453","M.Garrett","Myles","Garrett",2018,NA,NA,NA,NA,1,2,"DE","KC","away","CLE",32.0705761316872
"53470","M.Gilchrist","Marcus","Gilchrist",2017,NA,NA,NA,NA,NA,2,"DB","CLE","away","HOU",30.4257751937985
"53484","M.Gilchrist","Marcus","Gilchrist",2018,NA,NA,NA,NA,NA,2,"DB","MIA","home","OAK",28.6817204301075
"53530","M.Haggan","Mario","Haggan",NA,NA,NA,NA,NA,NA,NA,"LB",NA,NA,NA,NA
"53572","M.Harris","Marques","Harris",2018,NA,NA,NA,2,NA,3,"LB","SEA","away","SF",32.8471088435374
"53610","M.Harris","Mike","Harris",2018,NA,NA,NA,NA,NA,1,"DB","TB","home","SF",29.921978021978
"53652","M.Hilton","Mike","Hilton",2018,1,NA,NA,NA,NA,4,"DB","CIN","home","PIT",31.6939393939394
"53666","M.Hilton","Mike","Hilton",2017,NA,NA,NA,1,0,6,"DB","MIN","away","PIT",33.1678571428571
"53694","M.Hughes","Mike","Hughes",2018,NA,NA,NA,NA,NA,1,"DB","ARI","away","MIN",32.1076923076923
"53722","M.Humphrey","Marlon","Humphrey",2018,3,NA,NA,NA,NA,2,"DB","BUF","away","BAL",32.5727777777778
